"Code","Name","Description"
"0CREDIE031","Flux-Cored Arc Welding (FCAW) intro used for  an IES CIP","Flux-Cored Arc Welding intro cert for IES CIP: intro level in-person or e-learning intro level from AWS certification, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDIE032","Gas Tungsten Arc (GTAW) AKA Tungsten Inert Gas (TIG) Welding intro for IES CIP","Gas Tungsten Arc Welding AKA Tungsten Inert Gas Welding intro cert for IES CIP: intro level in-person or e-learning intro level from AWS certification, or other industry-recognized third-party certifier. Inquire for details."
"0CREDIE033","Oxyfuel Cutting intro used for an IES CIP","Oxyfuel Cutting intro cert for IES CIP: intro level in-person or e-learning intro level from AWS certification, a union hall, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDIE034","Plasma Cutting intro used for an IES CIP","Plasma Cutting intro cert for IES CIP: intro level in-person or e-learning intro level from AWS certification, a union hall, as a component of LEEPs, or other industry-recognized third-party certifier.  Inquire for details."
"0CREDIE035","Carbon Arc Gouging intro intro used for an IES CIP","Carbon Arc Gouging intro certification used for an IES CIP: intro level in-person or e-learning intro level from AWS certification, a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDIE036","Shielded Metal Arc Welding (SMAW) advanced used for an IES CIP","Shielded Metal Arc Welding (SMAW) advanced certification used for an IES CIP: advanced level from AWS certification, a union hall, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDIE037","Gas Metal Arc Welding (GMAW) advanced used for an IES CIP","Gas Metal Arc Welding (GMAW) advanced certification used for an IES CIP: advanced level from either AWS certification, a union hall, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDIE038","Flux-Cored Arc Welding (FCAW) advanced used for an IES CIP","Flux-Cored Arc Welding (FCAW) advanced cert for IES CIP: advanced level from either AWS certification, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDIE039","Gas Tungsten Arc (GTAW) AKA Tungsten Inert Gas (TIG) Welding advanced for IES CIP","Gas Tungsten Arc Welding AKA Tungsten Inert Gas Welding advanced cert used for an IES CIP: advanced level from AWS certification, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDIE040","Oxyfuel Cutting advanced used for an IES CIP","Oxyfuel Cutting advanced certification used for an IES CIP: advanced level from either AWS certification, a union hall, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDIE041","Plasma Cutting advanced used for an IES CIP","Plasma Cutting advanced certification used for an IES CIP: advanced level from either AWS certification, a union hall, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDIE042","Carbon Arc Gouging advanced used for an IES CIP","Carbon Arc Gouging advanced certification used for an IES CIP: advanced level from either AWS certification, a union hall, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details."
"0CREDIE043","Ford Automotive Career Exploration","Ford Automotive Career Exploration (Ford-ACE) is an authorized technician training and certification program leading to entry-level technician opportunities. Follow the provided link for details."
"0CREDIE044","Toyota T-Ten Technician","Toyota T-Ten Technician. Inquire for details."
"0CREDIE045","Freightliner Get Ahead Diesel Technician Training and Certification","Freightliner Get Ahead Diesel Technician Training and Certification is a partnership program between Daimler Trucks North America (DTNA) and affiliated schools. Inquire for details."
"0CREDIE046","Snap-on Meter Certification 525F","Snap-on Meter Certification 525F. Inquire with the IES CTE Content Specialist for details."
"0CREDIE047","Titans of CNC-CNC Expert Certification","Titans of CNC-CNC Expert Certification"
"0CREDIE048","Federal Aviation Administration: Part 107 (UAS) for IES CIP","Federal Aviation Administration: Part 107 (UAS) for IES CIP"
"0CREDIE049","Federal Aviation Administration: Part 61 (Pilot)","Federal Aviation Administration: Part 61 (Pilot)"
"0CREDIE050","Federal Aviation Administration: Part 147 (Aviation Maintenance)","Federal Aviation Administration: Part 147 (Aviation Maintenance)"
