NAICS_Code,NAICS_Sector,Name,Address,City,Zipcode,Business
4551,Retail Trade,Walmart Supercenter,Center Dr,Medford,97501,Department Stores
4551,Retail Trade,Walmart Supercenter,Crater Lake Hwy,Medford,97504,Department Stores
4552,Retail Trade,123 Stickers,Chevy Way,Medford,97504,Banners
4552,Retail Trade,3 Rivers Vending,Brian Way,Medford,97501,Coffee Break Service & Supplies
4552,Retail Trade,A & J Mobility Specialists,,Medford,97501,Wheel Chairs & Scooters
4552,Retail Trade,A Cool Pool Store,Center Dr,Medford,97501,Swimming Pool Equipment & Supls-Retail
4552,Retail Trade,Accent Spas,Court St,Medford,97501,Hot Tubs & Spas
4552,Retail Trade,Air Supply Inc,Delta Waters Rd,Medford,97504,General Merchandise-Retail
4552,Retail Trade,Aj Mobility Specialists,Center Dr # B,Medford,97501,Wheel Chairs & Scooters
4552,Retail Trade,Alexander Coin & Stamp Shop,E Main St,Medford,97501,Coin Dealers Supplies & Etc
4552,Retail Trade,All Well & Pump Svc,,Rogue River,97537,Irrigation Systems & Equipment-Retail
4552,Retail Trade,Alteration Center,E Barnett Rd # A,Medford,97501,Wedding Supplies & Services
4552,Retail Trade,Anderson Irrigation,State St # 71,Medford,97504,Irrigation Systems & Equipment-Retail
4552,Retail Trade,Apex Scientific Supply,W Main St # 6,Rogue River,97537,General Merchandise-Retail
4552,Retail Trade,Ashland Custom Frame,A St # 4,Ashland,97520,Picture Frames-Dealers
4552,Retail Trade,Ashley Outlet,Crater Lake Hwy,Medford,97504,Factory Outlets
4552,Retail Trade,Avalanche Ice LLC,Sage Rd,Medford,97501,Ice
4552,Retail Trade,Best Signs Inc of Medford Or,Crater Lake Hwy,Medford,97504,Banners
4552,Retail Trade,Bohemia Framing & Fine Art,Ashland St # 3,Ashland,97520,Picture Frames-Dealers
4552,Retail Trade,Castle Mega Store,N Riverside Ave,Medford,97501,Miscellaneous Retail Stores NEC
4552,Retail Trade,Costco Wholesale,Hamrick Rd,Central Point,97502,Wholesale Clubs
4552,Retail Trade,Country Store,Kings Hwy,Medford,97501,Variety Stores
4552,Retail Trade,Country Store,Highway 62,Trail,97541,General Merchandise-Retail
4552,Retail Trade,Crown Market,S Pacific Hwy # C,Talent,97540,General Merchandise-Retail
4552,Retail Trade,Crown Market,Stevens St,Medford,97504,General Merchandise-Retail
4552,Retail Trade,Daiso,Medford Ctr,Medford,97504,Variety Stores
4552,Retail Trade,Designer Fabrics & Framing,Delta Waters Rd,Medford,97504,Picture Frames-Dealers
4552,Retail Trade,Dollar General,Antelope Rd,White City,97503,Variety Stores
4552,Retail Trade,Dollar General,2nd Ave,Gold Hill,97525,Variety Stores
4552,Retail Trade,Dollar General,Highway 62,Shady Cove,97539,Variety Stores
4552,Retail Trade,Dollar General,W Valley View Rd,Talent,97540,Variety Stores
4552,Retail Trade,Dollar General,W Main St,Rogue River,97537,Variety Stores
4552,Retail Trade,Dollar Tree,E Barnett Rd # 100,Medford,97501,Variety Stores
4552,Retail Trade,Dollar Tree,Crater Lake Hwy,White City,97503,Variety Stores
4552,Retail Trade,Dollar Tree,S Front St,Central Point,97502,Variety Stores
4552,Retail Trade,Dollar Tree,Ashland St,Ashland,97520,Variety Stores
4552,Retail Trade,Dollar Tree,Biddle Rd,Medford,97504,Variety Stores
4552,Retail Trade,Dollar Tree,N Phoenix Rd # Q,Phoenix,97535,Variety Stores
4552,Retail Trade,Edye Timmons Wood & Art Studio,Lorraine Ave,Eagle Point,97524,Wood Products
4552,Retail Trade,Espi,Benson Way,Ashland,97520,Miscellaneous Retail Stores NEC
4552,Retail Trade,Family Table,Amy St,Medford,97504,Picnic Equipment & Supplies
4552,Retail Trade,Gobels Country Store,Highway 62,Shady Cove,97539,General Merchandise-Retail
4552,Retail Trade,Grange Co-Op,S Front St,Central Point,97502,Farmers Co-Op Retail Stores
4552,Retail Trade,Grange Co-Op,S Pacific Hwy,Medford,97501,Farmers Co-Op Retail Stores
4552,Retail Trade,Grange Co-Op,A St,Ashland,97520,Farmers Co-Op Retail Stores
4552,Retail Trade,Grange Cooperative Supl Assn,Crater Lake Hwy,White City,97503,Farmers Co-Op Retail Stores
4552,Retail Trade,Halstead's Helping Hands Est,Colver Rd # 62,Talent,97540,General Merchandise-Retail
4552,Retail Trade,High Supply Co LLC,N Phoenix Rd,Phoenix,97535,General Merchandise-Retail
4552,Retail Trade,Hilltop Commercial Supply Inc,Spring Valley Dr,Medford,97501,General Merchandise-Retail
4552,Retail Trade,Hinode Farm,Sardine Creek Rd,Gold Hill,97525,Candles
4552,Retail Trade,Hot Spring Spas of Southern Or,David Ln,Medford,97504,Hot Tubs & Spas
4552,Retail Trade,Iss Industrial Supply Svc GMBH,Ashland St # 104,Ashland,97520,General Merchandise-Retail
4552,Retail Trade,JMW Sales Inc,A St # 1,Ashland,97520,General Merchandise-Retail
4552,Retail Trade,Joseph's Store House,S 4th St,Central Point,97502,General Merchandise-Retail
4552,Retail Trade,Krisrianne Candles,Vernal Ct,White City,97503,Candles
4552,Retail Trade,Legendary Arms,E Vilas Rd,Central Point,97502,Trading Posts
4552,Retail Trade,Leisure Supply,Brian Way,Medford,97501,Swimming Pool Equipment & Supls-Retail
4552,Retail Trade,Lithia's Pre-Owned Outlet,N Bartlett St,Medford,97501,Factory Outlets
4552,Retail Trade,Lithia's Pre-Owned Outlet,N Riverside Ave,Medford,97501,Factory Outlets
4552,Retail Trade,Little Hippy Shoppe LLC,N Riverside Ave,Medford,97501,Miscellaneous Retail Stores NEC
4552,Retail Trade,Majestic Wood Products LLC,Avenue F,White City,97503,Wood Products
4552,Retail Trade,MAPCO Industries,Antioch Rd,White City,97503,Wood Products
4552,Retail Trade,Mars Outlet LLC,Court St,Medford,97501,Factory Outlets
4552,Retail Trade,Maxwell Supply Co LLC,Crater Lake Hwy # 3,Medford,97502,General Merchandise-Retail
4552,Retail Trade,Mca Wood Products,Posse Ln,Medford,97501,Wood Products
4552,Retail Trade,Meisters Buy Rite Inc,Siskiyou Blvd,Ashland,97520,Wedding Supplies & Services
4552,Retail Trade,Merchant of Marvels,Patterson St,Ashland,97520,General Merchandise-Retail
4552,Retail Trade,MF Products & Svc,Highway 62,Eagle Point,97524,General Merchandise-Retail
4552,Retail Trade,Miles-Merch LLC,Ridgeway Ave,Central Point,97502,General Merchandise-Retail
4552,Retail Trade,Millionaire Sales Academy,N Central Ave # 401,Medford,97501,General Merchandise-Retail
4552,Retail Trade,Natural Earth Paints,E Hersey St # 7,Ashland,97520,Artists Materials & Supplies
4552,Retail Trade,Northwest Trophy & Engraving,E Jackson St,Medford,97504,Trophies Awards & Medals
4552,Retail Trade,Numotion,Industry Dr,Central Point,97502,Wheel Chairs & Scooters
4552,Retail Trade,On the Wall Inc,N Bartlett St,Medford,97501,Picture Frames-Dealers
4552,Retail Trade,Oregon Hot Tub,Samike Dr,Medford,97501,Hot Tubs & Spas
4552,Retail Trade,Oregon Oak Products Inc,S Royal Ave,Eagle Point,97524,General Merchandise-Retail
4552,Retail Trade,Oregon Trail Soapers Supply,Pleasant St,Medford,97504,General Merchandise-Retail
4552,Retail Trade,Oregon Wood Worker,Grand Ave,Medford,97504,Wood Products
4552,Retail Trade,Pacific Fibre Products Inc,Blackwell Rd,Central Point,97502,General Merchandise-Retail
4552,Retail Trade,Part Haven,Hawthorne St,Medford,97504,General Merchandise-Retail
4552,Retail Trade,Pelindaba Lavender,N Main St,Ashland,97520,Miscellaneous Retail Stores NEC
4552,Retail Trade,Players Club Sports Cards,W Main St # E,Medford,97501,Baseball Sports Cards & Memorabilia
4552,Retail Trade,Provolt Country Store,Highway 238,Grants Pass,97527,General Merchandise-Retail
4552,Retail Trade,Retail Profit Systems,Bierson Way,Central Point,97502,Miscellaneous Retail Stores NEC
4552,Retail Trade,Rogue Valley Coin & Jewelry,S Grape St,Medford,97501,Coin Dealers Supplies & Etc
4552,Retail Trade,Roseburg Forest Products,N Pacific Hwy,Medford,97501,Wood Products
4552,Retail Trade,RV Coin & Jewelry,S Grape St,Medford,97501,Coin Dealers Supplies & Etc
4552,Retail Trade,Seize the Cake,,Medford,97501,Wedding Supplies & Services
4552,Retail Trade,Simulator Store,Old Stage Rd,Central Point,97502,General Merchandise-Retail
4552,Retail Trade,Slip & Clip Prong Collars,S Central Ave,Medford,97501,Miscellaneous Retail Stores NEC
4552,Retail Trade,South Valley Construction,Industrial Cir # D,White City,97503,Awnings & Canopies
4552,Retail Trade,Southern Or Christian Supply,E Main St,Medford,97501,Miscellaneous Retail Stores NEC
4552,Retail Trade,Southern Oregon Trophy Co,Blackwell Rd,Central Point,97502,Trophies Awards & Medals
4552,Retail Trade,Stewards Porta Potties,,Medford,97504,Wedding Supplies & Services
4552,Retail Trade,T L Forest Products Inc,Dead Indian Memorial Rd,Ashland,97520,General Merchandise-Retail
4552,Retail Trade,Timber & Tonic LLC,Medford Ctr,Medford,97504,Miscellaneous Retail Stores NEC
4552,Retail Trade,Treasure Barn,N Riverside Ave,Medford,97501,General Merchandise-Retail
4552,Retail Trade,Tree Star Inc,Williamson Way,Ashland,97520,Online Retailers & Marketplaces
4552,Retail Trade,Water Pro's,Crater Lake Hwy # B,Medford,97504,Hot Tubs & Spas
4552,Retail Trade,Well Earth Goods,N Barneburg Rd,Medford,97504,General Merchandise-Retail
4552,Retail Trade,Whole Heart Elder Care,E Main St,Ashland,97520,Miscellaneous Retail Stores NEC
4552,Retail Trade,Willie's River Rat Equipment,E Justice Rd,Central Point,97502,General Merchandise-Retail
4552,Retail Trade,Willows Orchard Mansion,Old Stage Rd,Central Point,97502,Wedding Supplies & Services
4552,Retail Trade,Wishing Well Collaborative,S Pacific Hwy,Medford,97501,Miscellaneous Retail Stores NEC
4561,Retail Trade,Aceso Optical Supply,Cedar Links Dr,Medford,97504,Optical Goods-Retail
4561,Retail Trade,Advanced Vision Wellness Ctr,E Mcandrews Rd # 100,Medford,97504,Opticians
4561,Retail Trade,All's Well Herb & Vitamin,Oak St,Ashland,97520,Health & Diet Foods-Retail
4561,Retail Trade,Apria Healthcare,Pech Rd # 507,Medford,97502,Home Health & Health Care Equipment
4561,Retail Trade,Artisan Eyeworks,4th St,Ashland,97520,Optical Goods-Retail
4561,Retail Trade,Asante Pharmacy,E Barnett Rd # 1,Medford,97504,Pharmacies
4561,Retail Trade,Ashland Drug,N 2nd St,Ashland,97520,Pharmacies
4561,Retail Trade,Bath & Body Works,N Riverside Ave # 2339,Medford,97501,Cosmetics & Perfumes-Retail
4561,Retail Trade,Beltone Hearing Care Ctr,Town Centre Dr # C,Medford,97504,Hearing Aids
4561,Retail Trade,Beltone Hearing Care Ctr,E Pine St,Central Point,97502,Hearing Aids
4561,Retail Trade,Bio Skin,E Hersey St # 2,Ashland,97520,Orthopedic Appliances
4561,Retail Trade,Black Oak Home Medical,Crater Lake Ave,Medford,97504,Home Health & Health Care Equipment
4561,Retail Trade,Black Oak Pharmacy,Siskiyou Blvd # 102,Medford,97504,Pharmacies
4561,Retail Trade,Black Oak Pharmacy,Black Oak Dr,Medford,97504,Pharmacies
4561,Retail Trade,Cascade Pharmacy,Crater Lake Hwy # A,White City,97503,Pharmacies
4561,Retail Trade,Cataract-Laser Inst-Southern,E Barnett Rd,Medford,97504,Optical Goods-Retail
4561,Retail Trade,Central Point Eyecare PC,E Pine St # 105,Central Point,97502,Optical Goods-Retail
4561,Retail Trade,CVS Pharmacy,Ashland St,Ashland,97520,Pharmacies
4561,Retail Trade,CVS Pharmacy,Crater Lake Hwy,Medford,97504,Pharmacies
4561,Retail Trade,Elder Apothecary,N Main St # 2,Ashland,97520,Pharmacies
4561,Retail Trade,Eye Care Group,Biddle Rd,Medford,97504,Optical Goods-Retail
4561,Retail Trade,Eyecare Associates-Southern OR,Royal Ave,Medford,97504,Opticians
4561,Retail Trade,Eyemart Express,Delta Waters Rd # 100,Medford,97504,Optical Goods-Retail
4561,Retail Trade,Forge Prosthetic Devices,Table Rock Rd,Central Point,97502,Prosthetic Devices
4561,Retail Trade,GNC,Center Dr # 104,Medford,97501,Vitamin & Food Supplements
4561,Retail Trade,Genoa Healthcare,Beatty St # 109,Medford,97501,Pharmacies
4561,Retail Trade,Glass Wear Studios Inc,Benson Way # 3,Ashland,97520,Optical Goods-Retail
4561,Retail Trade,Gold Hill Pharmacy,2nd Ave,Gold Hill,97525,Pharmacies
4561,Retail Trade,Hanger Clinic,E Barnett Rd # Suitea,Medford,97504,Prosthetic Devices
4561,Retail Trade,Imaginears,Highway 99 N # 202,Ashland,97520,Hearing Aids
4561,Retail Trade,Imaginears,Effie St,Medford,97504,Hearing Aids
4561,Retail Trade,Inesscents Aromatic Botanicals,Tolman Creek Rd,Ashland,97520,Cosmetics & Perfumes-Retail
4561,Retail Trade,Jacksonville Vision Clinic,N 5th St,Jacksonville,97530,Contact Lenses
4561,Retail Trade,JAFRA Cosmetics,Highway 66,Ashland,97520,Cosmetics & Perfumes-Retail
4561,Retail Trade,La Clinica Community Pharmacy,S Pacific Hwy,Medford,97501,Pharmacies
4561,Retail Trade,Lassman's Fine Eyewear Inc,Crater Lake Ave,Medford,97504,Optical Goods-Retail
4561,Retail Trade,Lincare,International Way # 201,Medford,97504,Home Health & Health Care Equipment
4561,Retail Trade,Lone Pine Drug,Lone Pine Rd # 101,Medford,97504,Pharmacies
4561,Retail Trade,Mary Kay Cosmetics,Shafer Ln,Medford,97501,Cosmetics & Perfumes-Retail
4561,Retail Trade,Medicap Pharmacy,N Pacific Hwy,Talent,97540,Pharmacies
4561,Retail Trade,Merle Norman Cosmetic Studio,Center Dr # C,Medford,97501,Cosmetics & Perfumes-Retail
4561,Retail Trade,Miracle-Ear Hearing Aid Ctr,Biddle Rd # C,Medford,97504,Hearing Aids
4561,Retail Trade,My Hearing Ctr LLC,Crater Lake Ave # 102,Medford,97504,Hearing Aids
4561,Retail Trade,National Vision,Biddle Rd,Medford,97504,Optical Goods-Retail
4561,Retail Trade,Natural Concepts 4 You,,Rogue River,97537,Health Care Products
4561,Retail Trade,Oasis Eye,Maple St,Ashland,97520,Opticians
4561,Retail Trade,Omnicare,E Barnett Rd # L,Medford,97501,Pharmaceutical Consultants
4561,Retail Trade,Oregon Retina Ctr,E Barnett Rd,Medford,97504,Opticians
4561,Retail Trade,Oregon Trail Soapers Supplies,,Medford,97504,Cosmetics & Perfumes-Retail
4561,Retail Trade,Paden Eye Care Ctr,W Stewart Ave # 110,Medford,97501,Opticians
4561,Retail Trade,Retina-Vitreous Ctr-Southern,Catalina Dr # 1,Ashland,97520,Opticians
4561,Retail Trade,Rogue Hearing,N Phoenix Rd # 430,Phoenix,97535,Hearing Aids
4561,Retail Trade,Rogue Valley Manor Pharmacy,Mira Mar Ave,Medford,97504,Pharmacies
4561,Retail Trade,Sally Beauty,Biddle Rd,Medford,97504,Cosmetics & Perfumes-Retail
4561,Retail Trade,Shady Cove Health Mart Pharm,Highway 62,Shady Cove,97539,Pharmacies
4561,Retail Trade,Stanton Optical,Rossanley Dr,Medford,97501,Optical Goods-Retail
4561,Retail Trade,Starchvick Optical Inc,E Mcandrews Rd # 100,Medford,97504,Optical Goods-Retail
4561,Retail Trade,Steel Head Surgical Inc,E Barnett Rd,Medford,97504,Orthopedic Appliances
4561,Retail Trade,Sunglass Hut,N Riverside Ave # 1023,Medford,97501,Sunglasses & Sun Goggles
4561,Retail Trade,Sunglass Hut At Macy's,N Riverside Ave,Medford,97501,Sunglasses & Sun Goggles
4561,Retail Trade,ULTA Beauty,Rossanley Dr,Medford,97501,Cosmetics & Perfumes-Retail
4561,Retail Trade,Visionworks Rogue Valley Mall,N Riverside Ave # 2153,Medford,97501,Optical Goods-Retail
4561,Retail Trade,Vitamin Shoppe,Rossanley Dr,Medford,97501,Vitamin & Food Supplements
4561,Retail Trade,Walgreens,N Front St,Central Point,97502,Pharmacies
4561,Retail Trade,Walgreens,W Main St,Medford,97501,Pharmacies
4561,Retail Trade,Wellness Compounding Pharmacy,Crater Lake Ave,Medford,97504,Pharmacies
4561,Retail Trade,West Main Pharmacy,W Main St,Medford,97501,Pharmacies
4561,Retail Trade,Yerba Prima,Jefferson Ave,Ashland,97520,Health & Diet Foods-Retail
4571,Retail Trade,76,N Pacific Hwy,Medford,97501,Service Stations-Gasoline & Oil
4571,Retail Trade,76,Talent Ave,Talent,97540,Service Stations-Gasoline & Oil
4571,Retail Trade,Ashland Auto Repair,Lithia Way,Ashland,97520,Service Stations-Gasoline & Oil
